"date","event","observed_cloud","color","actual_quality","predicted_quality","consistency","sky_condition","case_url","map_url","cross_section_url"
"2023-07-06","日出","高积云","橘红色,橘色,橘黄色","中到大烧","基本不烧","不一致","-","https://weibo.com/6441777827/N8ERbjxSN
https://video.weibo.com/show?fid=1034:4920372701888522","/static/media/ERA5/202307060000_rise.jpg","/static/media/ERA5/上海市_20230706_rise.jpg"
"2023-07-06","日落","卷云","橘色","小到中烧","基本不烧","不一致","-","https://weibo.com/6716642729/N8EtvyGiQ
https://weibo.com/6394378596/N8EhrD0d4","/static/media/ERA5/202307060000_set.jpg","/static/media/ERA5/上海市_20230706_set.jpg"
"2023-07-07","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307070000_rise.jpg","/static/media/ERA5/上海市_20230707_rise.jpg"
"2023-07-07","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307070000_set.jpg","/static/media/ERA5/上海市_20230707_set.jpg"
"2023-07-08","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307080000_rise.jpg","/static/media/ERA5/上海市_20230708_rise.jpg"
"2023-07-08","日落","高积云,高层云","橘色","微烧","大烧","不一致","彩虹,降水线高层云","https://weibo.com/5538010841/N8Ws4sUtT","/static/media/ERA5/202307080000_set.jpg","/static/media/ERA5/上海市_20230708_set.jpg"
"2023-07-09","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307090000_rise.jpg","/static/media/ERA5/上海市_20230709_rise.jpg"
"2023-07-09","日落","高积云,卷层云","橘黄色,橘色","大烧","大烧","一致","絮状高积云,幡状高积云,彩虹,乳状卷层云","https://weibo.com/3829399980/N96GLskYd
https://weibo.com/7781979403/N96OH9ivK
https://weibo.com/3415843222/N97isacfG
https://weibo.com/1211871433/N97i0nwT2
https://weibo.com/1196209710/N973yw05q","/static/media/ERA5/202307090000_set.jpg","/static/media/ERA5/上海市_20230709_set.jpg"
"2023-07-10","日出","高积云,卷云","橘色","小到中烧","微烧","不一致","-","https://weibo.com/1376016462/N9a5VxDkO","/static/media/ERA5/202307100000_rise.jpg","/static/media/ERA5/上海市_20230710_rise.jpg"
"2023-07-10","日落","高积云","橘红色","中到大烧","小到中烧","一般","-","https://video.weibo.com/show?fid=1034:4922055900987471
https://weibo.com/5341319494/N9gr5uN1b
https://weibo.com/6297059809/N9gMy5Uaj
https://weibo.com/5662803579/N9fTwDpUJ","/static/media/ERA5/202307100000_set.jpg","/static/media/ERA5/上海市_20230710_set.jpg"
"2023-07-11","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307110000_rise.jpg","/static/media/ERA5/上海市_20230711_rise.jpg"
"2023-07-11","日落","-","-","基本不烧","中到大烧","不一致","-","-","/static/media/ERA5/202307110000_set.jpg","/static/media/ERA5/上海市_20230711_set.jpg"
"2023-07-12","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307120000_rise.jpg","/static/media/ERA5/上海市_20230712_rise.jpg"
"2023-07-12","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307120000_set.jpg","/static/media/ERA5/上海市_20230712_set.jpg"
"2023-07-13","日出","-","-","基本不烧","中到大烧","不一致","-","-","/static/media/ERA5/202307130000_rise.jpg","/static/media/ERA5/上海市_20230713_rise.jpg"
"2023-07-13","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307130000_set.jpg","/static/media/ERA5/上海市_20230713_set.jpg"
"2023-07-14","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307140000_rise.jpg","/static/media/ERA5/上海市_20230714_rise.jpg"
"2023-07-14","日落","云砧","橘黄色,橘色","小到中烧","微烧","不一致","降水线云,彩虹","https://weibo.com/1587753852/N9RhowF5t","/static/media/ERA5/202307140000_set.jpg","/static/media/ERA5/上海市_20230714_set.jpg"
"2023-07-15","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307150000_rise.jpg","/static/media/ERA5/上海市_20230715_rise.jpg"
"2023-07-15","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307150000_set.jpg","/static/media/ERA5/上海市_20230715_set.jpg"
"2023-07-16","日出","高积云,卷云","橘色,橘黄色","中到大烧","中到大烧","一致","-","https://video.weibo.com/show?fid=1034:4924186506756104","/static/media/ERA5/202307160000_rise.jpg","/static/media/ERA5/上海市_20230716_rise.jpg"
"2023-07-16","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307160000_set.jpg","/static/media/ERA5/上海市_20230716_set.jpg"
"2023-07-17","日出","-","-","基本不烧","中到大烧","不一致","-","-","/static/media/ERA5/202307170000_rise.jpg","/static/media/ERA5/上海市_20230717_rise.jpg"
"2023-07-17","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307170000_set.jpg","/static/media/ERA5/上海市_20230717_set.jpg"
"2023-07-18","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307180000_rise.jpg","/static/media/ERA5/上海市_20230718_rise.jpg"
"2023-07-18","日落","积雨云,高积云,卷云","橘色,橘红色","中到大烧","基本不烧","不一致","闪电","https://weibo.com/1945044080/Nat6nE82l
https://weibo.com/6441777827/NateNe2Hf
https://weibo.com/6039190460/Nat0Jc0y8
https://weibo.com/2370199830/NasGriufI
https://weibo.com/7781979403/Natvsy1uk","/static/media/ERA5/202307180000_set.jpg","/static/media/ERA5/上海市_20230718_set.jpg"
"2023-07-19","日出","高积云","橘红色","小烧","中到大烧","不一致","幡状高积云","https://weibo.com/1770475104/Nay0y1TQa","/static/media/ERA5/202307190000_rise.jpg","/static/media/ERA5/上海市_20230719_rise.jpg"
"2023-07-19","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307190000_set.jpg","/static/media/ERA5/上海市_20230719_set.jpg"
"2023-07-20","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307200000_rise.jpg","/static/media/ERA5/上海市_20230720_rise.jpg"
"2023-07-20","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307200000_set.jpg","/static/media/ERA5/上海市_20230720_set.jpg"
"2023-07-21","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307210000_rise.jpg","/static/media/ERA5/上海市_20230721_rise.jpg"
"2023-07-21","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307210000_set.jpg","/static/media/ERA5/上海市_20230721_set.jpg"
"2023-07-22","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307220000_rise.jpg","/static/media/ERA5/上海市_20230722_rise.jpg"
"2023-07-22","日落","高积云,卷云","橘色,橘红色","中到大烧","基本不烧","不一致","幡状高积云","https://weibo.com/1632542437/Nb4Flpx33
https://weibo.com/1587753852/Nb4IiBKFX
https://weibo.com/7781979403/Nb4BZ8yi5
https://weibo.com/6250857015/Nb4ubFHQf","/static/media/ERA5/202307220000_set.jpg","/static/media/ERA5/上海市_20230722_set.jpg"
"2023-07-23","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307230000_rise.jpg","/static/media/ERA5/上海市_20230723_rise.jpg"
"2023-07-23","日落","高积云","橘色,橘红色","大烧","大烧","一致","-","https://video.weibo.com/show?fid=1034:4926787575283723
https://video.weibo.com/show?fid=1034:4926759640956979
https://video.weibo.com/show?fid=1034:4926757091082296
https://video.weibo.com/show?fid=1034:4926752255049786
https://weibo.com/2559480524/Nbf8h10GX","/static/media/ERA5/202307230000_set.jpg","/static/media/ERA5/上海市_20230723_set.jpg"
"2023-07-24","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307240000_rise.jpg","/static/media/ERA5/上海市_20230724_rise.jpg"
"2023-07-24","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307240000_set.jpg","/static/media/ERA5/上海市_20230724_set.jpg"
"2023-07-25","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307250000_rise.jpg","/static/media/ERA5/上海市_20230725_rise.jpg"
"2023-07-25","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307250000_set.jpg","/static/media/ERA5/上海市_20230725_set.jpg"
"2023-07-26","日出","高积云","橘色","中到大烧","大烧","一般","-","https://video.weibo.com/show?fid=1034:4927856086810645
https://video.weibo.com/show?fid=1034:4927706807337012","/static/media/ERA5/202307260000_rise.jpg","/static/media/ERA5/上海市_20230726_rise.jpg"
"2023-07-26","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307260000_set.jpg","/static/media/ERA5/上海市_20230726_set.jpg"
"2023-07-27","日出","高积云,卷云","橘色,橘黄色","中到大烧","中到大烧","一致","复高积云","https://weibo.com/5157956008/NbK98rNcZ
https://video.weibo.com/show?fid=1034:4928260556128295
https://video.weibo.com/show?fid=1034:4928165634572320","/static/media/ERA5/202307270000_rise.jpg","/static/media/ERA5/上海市_20230727_rise.jpg"
"2023-07-27","日落","高层云","橘黄色,橘色,橘红色","中到大烧","大烧","一般","降水线高层云,红虹","https://weibo.com/3169171125/NbXWHrC4v
https://weibo.com/1548850861/NchLtes6p
https://video.weibo.com/show?fid=1034:4928223134285828
https://weibo.com/5885108869/NbQm6gSnS
https://weibo.com/2691417500/NbQ8Vu8II
https://weibo.com/1079610644/NbQ9yg9wX
https://weibo.com/1212156690/NbPOWh4Jg
https://weibo.com/1415104792/NbPK09lua
https://weibo.com/1839008834/NbPAzBV6I","/static/media/ERA5/202307270000_set.jpg","/static/media/ERA5/上海市_20230727_set.jpg"
"2023-07-28","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307280000_rise.jpg","/static/media/ERA5/上海市_20230728_rise.jpg"
"2023-07-28","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307280000_set.jpg","/static/media/ERA5/上海市_20230728_set.jpg"
"2023-07-29","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307290000_rise.jpg","/static/media/ERA5/上海市_20230729_rise.jpg"
"2023-07-29","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307290000_set.jpg","/static/media/ERA5/上海市_20230729_set.jpg"
"2023-07-30","日出","高积云,层积云,卷层云","橘色,橘红色","中到大烧","中到大烧","一致","幡状高积云,堡状层积云","-","/static/media/ERA5/202307300000_rise.jpg","/static/media/ERA5/上海市_20230730_rise.jpg"
"2023-07-30","日落","高积云","橘黄色,橘色","中到大烧","基本不烧","不一致","-","https://video.weibo.com/show?fid=1034:4929319722483724
https://weibo.com/5662803579/NcinuB67H
https://weibo.com/1079610644/NchYbAFaU
https://weibo.com/5157956008/NchVj3PTG
https://weibo.com/1839008834/Ncia2afKY
https://weibo.com/2691417500/NbQ8Vu8II","/static/media/ERA5/202307300000_set.jpg","/static/media/ERA5/上海市_20230730_set.jpg"
"2023-07-31","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202307310000_rise.jpg","/static/media/ERA5/上海市_20230731_rise.jpg"
"2023-07-31","日落","高积云,卷云","橘黄色,橘色","中到大烧","中到大烧","一致","密卷云,乳状卷云,波状高积云,絮状高积云","https://weibo.com/7849834035/Ncrp47kAU
https://video.weibo.com/show?fid=1034:4929677404340226
https://video.weibo.com/show?fid=1034:4929664087687248
https://video.weibo.com/show?fid=1034:4929658077249643
https://video.weibo.com/show?fid=1034:4929652116881436","/static/media/ERA5/202307310000_set.jpg","/static/media/ERA5/上海市_20230731_set.jpg"
"2023-08-01","日出","浓积云,卷层云,高积云","橘红色,橘色,橘黄色","中到大烧","中到大烧","一致","红虹,幡状高积云","https://video.weibo.com/show?fid=1034:4930026764697666
https://weibo.com/5577709294/NcwOJBp7J","/static/media/ERA5/202308010000_rise.jpg","/static/media/ERA5/上海市_20230801_rise.jpg"
